,id,name,artists,artist_name,album,album_name,release_date,explicit,popularity,label,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
440,2PC9Tl8SWVO2yhDDtJcrAi,Setting Fires,"['69GGBxA162lTqCwzJG5jLp', '6ioOEWNNGK40H8xrGj6XPW']","['The Chainsmokers', 'XYLØ']",22rp3PnM3q2mtTI0OGCzpq,Collage EP,2016-11-04,False,57.0,"Setting Fires|C,o,l,l,a,g,e, ,E,P|The Chainsmokers,XYLØ",0.626,0.717,8.0,-5.751,0.0,0.0375,0.017,0.0,0.261,0.56,105.039,4.0,247427.0
441,2PpSQ2yW2LoqjOjxWjE0k2,100 Roses,['2FwDTncULUnmANIh7qKa5z'],['FKJ'],0A13mnL2iaAoke3GXWsvB1,Ylang Ylang EP,2019-11-12,False,48.0,"100 Roses|Y,l,a,n,g, ,Y,l,a,n,g, ,E,P|FKJ",0.613,0.379,4.0,-9.998,0.0,0.0738,0.745,0.588,0.31,0.199,82.968,4.0,248298.0
442,2PzJW0xq3V8m3fo475IWck,Blinded,['3FMbhaYng6VoeCltbwqmtG'],['Brika'],7r5vuvWKSw7UMSCWpBtLPc,Blinded,2019-04-19,False,23.0,"Blinded|B,l,i,n,d,e,d|Brika",0.524,0.166,1.0,-13.059,0.0,0.045,0.957,6.17e-06,0.0828,0.16,126.23,4.0,232149.0
443,2Q4OrJV7rGtUpPsLGbchgr,Thief,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],6ecx4OFG0nlUMqAi9OXQER,Smoke + Mirrors (Deluxe),2015-10-30,False,47.0,"Thief|S,m,o,k,e, ,+, ,M,i,r,r,o,r,s, ,(,D,e,l,u,x,e,)|Imagine Dragons",0.416,0.715,0.0,-5.75,1.0,0.0435,0.00272,2.23e-05,0.106,0.126,149.952,4.0,227493.0
444,2QCndYqRherBtKjBpyySC6,Sober Up (feat. Rivers Cuomo),"['6s22t5Y3prQHyaHWUN1R1C', '4LAz9VRX8Nat9kvIzgkg2v']","['AJR', 'Rivers Cuomo']",6hpiZXzsZxlkTXY8zavu3N,The Click,2017-06-09,False,58.0,"Sober Up (feat. Rivers Cuomo)|T,h,e, ,C,l,i,c,k|AJR,Rivers Cuomo",0.651,0.568,5.0,-6.774,1.0,0.0275,0.282,0.0,0.0862,0.805,93.006,4.0,218763.0
445,2QVKA9L7gJSronH3Jmns8e,Beverly Blues,['70zHrrrPfBkVV44AEhFyyh'],['Opia'],40Ad9vHww2P1xNc9Fjwm4y,Beverly Blues,2018-08-31,False,54.0,"Beverly Blues|B,e,v,e,r,l,y, ,B,l,u,e,s|Opia",0.576,0.751,11.0,-5.234,1.0,0.315,0.0213,1.57e-06,0.531,0.68,79.676,4.0,181865.0
446,2R9XHwbcqgq2jDVQ1zEDG1,Same Soul (feat. Jaymes Young) - Marian Hill Remix,"['6oFs3qk4VepIVFdoD4jmsy', '6QrQ7OrISRYIfS5mtacaw2', '1xHQO9GJIW9OXHxGBISYc5']","['PVRIS', 'Jaymes Young', 'Marian Hill']",5StROkOmJVVaH9pXSndrrw,Same Soul (feat. Jaymes Young) [Marian Hill Remix],2018-04-27,False,38.0,"Same Soul (feat. Jaymes Young) - Marian Hill Remix|S,a,m,e, ,S,o,u,l, ,(,f,e,a,t,., ,J,a,y,m,e,s, ,Y,o,u,n,g,), ,[,M,a,r,i,a,n, ,H,i,l,l, ,R,e,m,i,x,]|PVRIS,Jaymes Young,Marian Hill",0.85,0.546,1.0,-6.412,1.0,0.123,0.342,0.00606,0.116,0.177,101.009,4.0,223366.0
447,2RBXNEWHW7YFXrXL2Uz2gK,Bullet,['1dWEYMPtNmvSVaDNLgB6NV'],['Saint Motel'],5aAfgCIEc9zBKbwFO6jixe,The Original Motion Picture Soundtrack,2021-06-25,False,41.0,"Bullet|T,h,e, ,O,r,i,g,i,n,a,l, ,M,o,t,i,o,n, ,P,i,c,t,u,r,e, ,S,o,u,n,d,t,r,a,c,k|Saint Motel",0.669,0.854,1.0,-4.345,0.0,0.0341,0.0791,0.0,0.0797,0.409,99.029,4.0,203653.0
448,2RSHsoi04658QL5xgQVov3,Bad Liar,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],3JfSxDfmwS5OeHPwLSkrfr,Origins (Deluxe),2018-11-09,False,80.0,"Bad Liar|O,r,i,g,i,n,s, ,(,D,e,l,u,x,e,)|Imagine Dragons",0.383,0.637,3.0,-6.993,1.0,0.0703,0.0722,0.0,0.368,0.0827,177.913,4.0,260773.0
449,2SCUNHTUORvAnmWjSsp5Ib,Crop Circles,['50JJSqHUf2RQ9xsHs0KMHg'],['Jon Bellion'],4oNTQtyqMltQXSnrmgMYWh,Crop Circles,2019-05-31,True,50.0,"Crop Circles|C,r,o,p, ,C,i,r,c,l,e,s|Jon Bellion",0.793,0.755,4.0,-4.561,0.0,0.0737,0.077,0.000271,0.0868,0.664,99.912,4.0,147684.0
